Actual Track Score,CNN Prediction,Random Forest Prediction,XGBoost Prediction
43.7,41.83588,111.6158375630383,115.300766
22.3,33.14712,115.31708696068364,113.2666
22.8,24.218845,116.95249071755653,116.28965
45.3,55.8344,115.76697464346113,136.73883
98.1,62.160477,110.64214468451763,121.72428
31.9,38.637764,99.50152115591763,124.08312
47.9,33.043148,104.13552671133449,82.38906
725.4,165.50772,113.21577896302571,113.475075
22.2,47.70865,105.43333325972642,102.17136
25.0,29.594685,118.72337464602352,117.49366
35.3,28.186834,106.39315640002206,117.08837
20.6,22.243446,97.70792380833903,125.94777
24.3,30.062956,113.73596494966097,105.50009
35.7,33.99442,85.74097816985928,85.248604
19.5,32.211426,104.32467540430012,112.17687
25.8,36.296795,116.45082530332716,104.61695
26.6,25.694939,114.60235332373239,115.25246
39.4,22.191063,109.44704262587604,119.26183
77.0,64.52231,102.18447687212202,103.01842
25.8,28.3728,115.24522274911904,121.7474
203.6,77.30315,94.36483902350169,103.869415
54.0,37.381634,70.39807288419497,65.181015
22.5,28.282671,87.37759900753905,77.40831
292.6,60.959194,105.43898749834067,113.48063
126.2,98.68583,99.60032173272602,107.44801
22.6,12.989162,110.01231521432051,119.93227
76.6,49.716244,103.7333778461861,97.97878
76.2,62.418728,93.47496254117416,88.33962
62.1,57.37523,104.0746825509499,103.18286
21.0,21.841398,114.94585192537443,129.72124
25.3,37.92735,91.28796886034527,103.06709
23.5,43.2074,106.39256302633397,112.39126
34.6,32.479,104.48822364311464,107.18562
37.2,32.718487,51.40578520858672,38.495064
87.5,73.777016,88.44408360603215,81.486465
23.3,24.813992,101.92250391505841,102.99594
26.3,30.383966,101.1081815961748,103.40985
22.4,24.738653,83.51134017532844,86.64455
60.6,37.57841,101.0080932281592,98.45893
19.9,26.3753,60.057202743954406,55.669586
28.2,30.339819,101.06876521212968,99.48195
19.9,24.424429,94.07624394591764,99.67331
20.6,20.965761,98.00395752732832,102.145485
33.3,30.800724,94.91862707198081,109.0375
42.9,42.48897,111.49448856905872,107.81751
30.0,32.908627,112.62287071024946,105.984344
25.4,32.66146,90.18232356066109,92.00753
27.1,40.44151,107.34765947004949,107.13888
29.2,24.97962,88.56459774477594,80.44473
38.5,66.088585,83.09742114522031,77.68778
41.5,39.581577,101.8742882069104,119.06477
30.1,28.950964,115.58497720971866,105.80545
94.1,74.33974,88.15384398564163,93.34417
44.8,50.68753,97.87857195763397,82.65247
59.9,46.598328,102.6073343159535,104.87059
41.8,46.88665,88.10539204187602,86.35044
20.4,26.671795,97.69295110277488,112.68609
63.1,60.234028,103.24806888344676,93.18288
31.3,32.713234,99.04603638626796,101.80279
19.4,16.055538,90.56945136947797,107.41241
26.4,23.081121,95.0923008036461,84.67866
22.9,32.27772,81.03681303128262,65.40811
23.8,17.881382,93.62785402502037,97.15237
31.6,31.84736,106.5035125865057,100.92662
26.7,22.214054,85.06498105315445,78.004524
23.4,25.582268,87.06120626420933,75.27222
25.5,23.0394,102.59666899651036,98.66253
35.3,29.09216,112.53153716906277,105.63621
27.9,28.685862,95.65339416677777,102.86869
33.4,32.632805,83.20029942499048,75.81596
34.0,40.132915,98.40356150272969,99.87241
28.0,22.439577,99.89317120775706,107.72249
21.7,23.857801,91.85077926359236,110.54068
174.3,100.625275,76.45628522522172,65.15012
24.5,49.187077,92.43499999999969,87.04284
42.6,31.084509,89.58817023887757,95.39217
82.5,47.557068,94.4376589820457,96.82361
46.0,65.630615,102.85982645641425,101.12749
31.3,30.885405,86.75625338538491,84.95211
20.2,19.947264,69.50959555433728,52.02725
21.1,17.503094,89.72657348923255,93.84872
21.5,23.893433,93.57387389641501,96.02865
43.3,42.42689,87.89630326797409,95.41776
20.6,26.71601,81.59282770186121,74.8907
21.0,31.504353,83.94432190968547,90.18966
57.9,50.798817,106.00784758848475,101.30083
37.6,40.1957,98.0487466875684,101.02157
55.4,51.387997,72.92796750259588,74.42149
25.1,28.229753,72.76687152070039,84.78456
38.2,23.941454,92.34354767354293,99.896935
27.8,35.41999,96.47040128939214,94.11738
22.5,17.219156,97.8836892852432,102.19454
44.1,51.7013,97.84560168124571,106.6004
22.9,30.573227,80.34949572705301,79.20274
61.0,57.996876,91.88349222993921,94.85163
62.8,26.564173,85.14069157995506,89.4896
28.6,21.65415,70.68381057707491,82.12304
25.0,20.2565,84.55130469472297,85.66781
73.6,55.423183,90.09259423663846,93.33193
49.5,45.8012,83.57598179049577,76.30888
20.8,19.496302,80.9946217448365,85.71844
35.4,30.284342,86.6497713659283,83.57205
21.5,25.271103,95.6442251131955,105.45623
50.5,32.243763,89.57856398837163,96.984146
20.1,20.637674,51.29303515215361,50.6141
98.0,91.31496,86.46957388814224,66.75524
22.2,24.090082,85.16409811422943,97.0209
30.6,47.934105,84.24361077941133,76.97253
27.1,28.650167,79.48455460364964,82.0862
29.2,28.959513,68.27871948123615,68.45273
33.5,48.66421,84.72011205155049,96.13935
36.7,32.85072,69.95822742405407,70.8651
37.5,34.028934,119.60519513214253,115.30249
27.2,39.01065,87.49393219022089,94.93
39.4,69.22603,77.61919616081664,79.48838
21.8,26.842318,84.19167907842278,84.52255
52.1,41.918766,84.41651681460758,82.55255
28.8,21.666162,76.63873704899537,61.1423
20.6,1.1501609,83.51141178654638,74.96257
22.1,25.661785,87.23395614208597,85.66218
48.8,70.19212,81.64167640587634,76.81533
93.9,91.88354,59.56921152138283,53.62317
26.6,27.263655,99.92234597159913,100.9027
100.1,56.84863,73.8662868963579,62.353764
53.0,38.1683,88.68381440859466,90.50994
20.5,13.474811,73.73362163309349,63.23118
129.6,49.337093,69.35055185316577,57.57062
56.2,52.54938,83.3700917064044,85.16717
21.0,25.414652,89.94174737384408,79.60046
28.2,26.12453,75.03782659511069,70.78302
24.3,25.584383,91.50192515183201,80.278145
59.5,38.932392,79.8261481417264,76.85083
44.9,33.63482,81.71474219123218,85.162926
23.2,28.220472,73.5420564272754,70.261086
72.0,35.673298,132.6129327237572,117.56147
24.0,22.381062,68.04947931707136,74.44879
34.8,19.603302,73.74902407912602,75.173935
104.4,84.36018,89.66856889516603,90.5528
26.8,21.509363,57.34804849831123,41.076485
31.2,22.526207,52.36950782221867,49.58414
32.9,36.707348,85.01935717107015,74.61946
214.5,124.26906,71.83498291510612,74.029495
20.5,41.863506,70.77139841966957,84.29418
28.2,11.599292,76.65923165181204,76.3606
25.2,28.900846,90.5013661126556,87.11286
22.4,32.749195,78.75614465530666,77.01344
20.3,19.246881,61.031936363798884,62.02882
33.8,26.327177,59.34082414673713,72.54406
23.5,24.035349,97.08543615390344,85.87825
27.9,45.573925,78.93241498899036,82.53182
